blue_picks,blue_bans,red_picks,red_bans,blue_win,red_win,game_duration,game_version,queue_id,match_id
"['Darius', 'Khazix', 'Ahri', 'Ziggs', 'Sona']","['Kindred', 'Rengar', 'Sivir', 'Ekko', 'Nautilus']","['Gangplank', 'JarvanIV', 'Kassadin', 'Jinx', 'Rell']","[""Bel'Veth"", 'Aurelion Sol', 'Caitlyn', 'Lux', 'Sylas']",True,False,1316,16.2.741.3171,420,NA1_5482508429
"['Ambessa', 'Nidalee', 'Lucian', 'Sivir', 'Nautilus']","['Riven', ""Cho'Gath"", 'Rell', 'Shaco', 'Kassadin']","['Renekton', 'Zac', 'Ekko', 'Twitch', 'Sylas']","['Zaahen', 'Gangplank', 'Poppy', 'Urgot']",True,False,1935,16.3.744.1639,420,NA1_5484921001
"['Sion', 'Khazix', 'Syndra', 'Yunara', 'Heimerdinger']","['Yasuo', 'Gwen', 'Zed', 'Nunu & Willump', 'Fiddlesticks']","['Irelia', 'MasterYi', 'Mel', 'Lux', 'Zoe']","['Pyke', 'Twitch', 'LeBlanc', 'Zaahen', 'Ambessa']",True,False,735,16.3.745.7600,420,NA1_5494476662
"['Jax', 'Nidalee', 'Kennen', 'Twitch', 'Senna']","['Syndra', 'Sona', 'Rengar', 'Yasuo', 'Azir']","['Rumble', 'Jayce', 'Orianna', 'Jhin', 'Karma']","['Lux', 'Blitzcrank', 'Pyke', 'Rengar', 'Riven']",False,True,1791,16.2.741.3171,420,NA1_5483231788
"['Sett', 'Taliyah', 'Qiyana', 'Yunara', 'Leona']","['Rengar', 'Sivir', 'Kennen', 'Syndra', 'Riven']","['Rumble', 'XinZhao', 'Irelia', 'Ziggs', 'Sona']","['Talon', 'Kindred', 'Akshan', 'Akali', 'Sivir']",False,True,1463,16.2.741.3171,420,NA1_5482502920
"['Renekton', 'Nidalee', 'Jayce', 'Yunara', 'Nautilus']","['Pyke', 'Shaco', 'Kindred', 'Lux', 'Rengar']","['Zaahen', 'Ambessa', 'TwistedFate', 'Riven', 'Nami']","['Sona', 'Akshan', 'Lux', 'Rengar', 'Nunu & Willump']",True,False,1120,16.3.744.7656,420,NA1_5485664266
"['Ahri', 'Ambessa', 'Sylas', 'Corki', 'Karma']","['Pyke', 'Irelia', 'Riven', 'Rengar', 'Akali']","['Vayne', 'LeeSin', 'TwistedFate', 'Swain', 'Bard']","['Rengar', 'Sona', 'Jayce', 'Twitch', 'Varus']",False,True,1586,16.2.741.3171,420,NA1_5482822911
"['Rumble', 'Jayce', 'Ryze', 'Senna', 'Nautilus']","['Kalista', 'Riven']","['Aurora', 'Qiyana', 'Yone', 'Ezreal', 'Bard']","['Ambessa', 'Malphite', 'Riven', 'Lux']",False,True,1822,16.3.744.1639,420,NA1_5484891538
"['Ryze', 'Ambessa', 'Sion', 'Mel', 'Sona']","['Twitch', 'Lux', 'Irelia', 'Nunu & Willump', 'Pyke']","['Yorick', 'Vi', 'Syndra', 'Ziggs', 'Leona']","['Yasuo', 'Rengar', 'Shaco', 'Riven']",True,False,914,16.3.744.1639,420,NA1_5484702110
"['Jax', 'Volibear', 'Veigar', 'Ziggs', 'Sona']","['Malphite', 'Sivir', 'Dr. Mundo', 'Kassadin', 'Nocturne']","['Garen', 'Viego', 'AurelionSol', 'Brand', 'Swain']","[""Rek'Sai"", 'Mel', 'Zoe', 'Karthus', 'Zac']",False,True,1763,16.2.740.1491,420,NA1_5473272937
"['Teemo', 'FiddleSticks', 'Corki', 'Riven', 'Nami']","['Nunu & Willump', 'Ambessa', 'Pyke', 'Sona']","['Aatrox', 'JarvanIV', 'Vex', 'Jinx', 'Karma']","['Zoe', 'Yasuo', 'Varus', 'Rumble']",True,False,1627,16.3.742.6169,420,NA1_5483686783
"['Urgot', 'Gragas', 'Riven', 'Caitlyn', 'Karma']","['Azir', 'Yasuo', 'Draven', 'Poppy', 'Rumble']","['Gnar', 'Diana', 'Swain', 'Corki', 'Senna']","['Aphelios', 'Rengar', 'Lux', 'Sona', 'Janna']",True,False,1554,16.3.742.6169,420,NA1_5484047450
"['Irelia', 'Khazix', 'Galio', 'Kaisa', 'Pyke']","['Fiddlesticks', 'Mel', 'Caitlyn', 'Akshan', 'Gwen']","['Corki', 'Rengar', 'Syndra', 'Yunara', 'Thresh']","['Yasuo', 'Jayce', 'Ambessa', 'Riven', 'Caitlyn']",False,True,1849,16.3.745.7600,420,NA1_5494524249
"['Jayce', 'Talon', 'Anivia', 'Mel', 'Pyke']","['Sivir', 'Malzahar', 'Rengar', 'Riven', ""Kha'Zix""]","['Lucian', 'Nocturne', 'Zoe', 'Yunara', 'Nami']","['Draven', 'Akshan', 'Rumble', 'Poppy', 'Ambessa']",True,False,2099,16.3.745.7600,420,NA1_5495342938
"['DrMundo', 'XinZhao', 'TwistedFate', 'Kaisa', 'Zilean']","['Rengar', 'Irelia', ""Kha'Zix"", 'Pyke']","['Riven', 'FiddleSticks', 'Ahri', 'Varus', 'Neeko']","['Poppy', 'Sona', 'Orianna']",False,True,1497,16.3.744.7656,420,NA1_5488180769
"['Udyr', 'Evelynn', 'Akshan', 'Qiyana', 'Mel']","['Poppy', 'Jayce', 'Nunu & Willump', 'Sivir', 'Elise']","['Gangplank', 'Khazix', 'Zyra', 'Senna', 'Lulu']","['Draven', 'Sona', 'Sylas', 'Pyke', 'Rengar']",True,False,919,16.2.741.3171,420,NA1_5479773636
"['Zaahen', 'Zyra', 'Sylas', 'Tristana', 'Nautilus']","['Braum', 'Ambessa', 'Azir', 'Qiyana', 'Rengar']","['Jax', 'Jayce', 'Ahri', 'Yunara', 'Renata']","['Ambessa', 'Gwen', 'Blitzcrank', 'Sona', 'Milio']",False,True,2015,16.3.745.7600,420,NA1_5494429799
"['Jax', 'Qiyana', 'Hwei', 'Yunara', 'Rell']","['Rengar', 'Shaco', 'Rumble', 'Jayce', 'Yasuo']","['Akali', 'Gwen', 'Akshan', 'Corki', 'Nami']","['Rengar', 'Riven', ""Kha'Zix"", 'Lux', 'Syndra']",False,True,1682,16.2.741.3171,420,NA1_5480590521
"['Malphite', 'Aatrox', 'Ryze', 'Aphelios', 'Milio']","['Jayce', 'Gwen', 'Sona', 'Rengar', 'Ambessa']","['Sylas', 'Taliyah', 'Riven', 'Karthus', 'Amumu']","['Talon', 'Karma', 'Mel', 'Sona', 'Jayce']",False,True,1435,16.3.744.7656,420,NA1_5488094101
"['Rumble', 'Jayce', 'Akali', 'Ezreal', 'Bard']","['Twitch', 'Neeko', 'Udyr', 'Zoe', 'Rengar']","['Galio', 'Gragas', 'Yasuo', 'Aphelios', 'Alistar']","['Orianna', 'Riven', 'Poppy', 'Nunu & Willump']",False,True,1217,16.2.741.3171,420,NA1_5480632843
"['Fiora', 'Khazix', 'Malzahar', 'Jinx', 'Bard']","['Qiyana', 'Naafiri', 'Anivia', 'Ambessa']","['Riven', 'LeeSin', 'Zoe', 'Ezreal', 'Alistar']","['Nami', 'Aurelion Sol', 'Zaahen', 'Zed', 'Nidalee']",False,True,1337,16.3.745.7600,420,NA1_5491796891
"['Leblanc', 'Qiyana', 'Fiora', 'Aphelios', 'Lulu']","['Zaahen', 'Bard', 'Rumble', 'Dr. Mundo', ""Kha'Zix""]","['Kennen', 'Vi', 'Zoe', 'Caitlyn', 'Karma']","['Malphite', 'Fizz', 'Mel', 'Ambessa', 'Fiddlesticks']",False,True,1403,16.3.745.7600,440,NA1_5492259014
"['Akali', 'Gragas', 'Viego', 'Varus', 'Nautilus']","['Ambessa', 'Fiddlesticks', 'Rumble', ""Bel'Veth""]","['Jax', 'Khazix', 'TwistedFate', 'Ziggs', 'Maokai']","['Gwen', 'Swain', 'Karma', 'Zac', 'Gangplank']",False,True,1638,16.3.742.6169,420,NA1_5483528879
"['Aatrox', 'Graves', 'Malzahar', 'Veigar', 'Leona']","['Hwei', 'Ryze', 'Zoe', 'Sona', 'Jax']","['Yorick', 'Jayce', 'Leblanc', 'Swain', 'Bard']","['Vex', ""Kha'Zix"", 'Sylas', 'Sona']",True,False,931,16.4.746.5697,420,NA1_5496114970
"['Ambessa', 'Belveth', 'Azir', 'Seraphine', 'Soraka']","['Neeko', 'Akali', 'Sivir', ""K'Sante"", 'Heimerdinger']","['Varus', 'Rumble', 'Zyra', 'Kaisa', 'Leona']","['Jayce', 'Lux', 'Sona', 'Gwen', 'Morgana']",True,False,1691,16.2.741.3171,420,NA1_5482527769
"['Varus', 'Pyke', 'Malzahar', 'Jinx', 'Alistar']","['Ambessa', 'Talon', 'Rengar', 'Sylas', 'Gwen']","['Jax', 'Khazix', 'Mel', 'Ezreal', 'Karma']","['Jayce', 'Zac', 'Rumble', 'Ambessa', 'Zoe']",True,False,1863,16.2.741.3171,420,NA1_5482723216
"['Udyr', 'Jayce', 'Qiyana', 'Caitlyn', 'Thresh']","['Gwen', 'Nunu & Willump', 'Varus', 'Diana', 'Poppy']","['Renekton', 'MonkeyKing', 'Akali', 'Yunara', 'Bard']","['Lux', 'Yasuo', 'Gwen', 'Zoe', 'Rengar']",False,True,1576,16.2.741.3171,420,NA1_5480593641
"['Ambessa', 'Hecarim', 'Cassiopeia', 'Ezreal', 'DrMundo']","['Viktor', 'Rengar', ""Bel'Veth"", 'Akali', 'Riven']","['Kayle', 'Draven', 'Zed', 'Ashe', 'Swain']","['LeBlanc', 'Sylas', 'Poppy', 'Rumble']",False,True,1743,16.3.745.7600,420,NA1_5495300534
"['Yone', 'Vi', 'Ahri', 'Varus', 'Rakan']","['Zoe', 'Master Yi', 'Riven', ""Bel'Veth"", 'Malphite']","['Jax', 'MonkeyKing', 'Azir', 'Jhin', 'Leona']","['Draven', 'Zac', 'Rumble', 'Master Yi', 'Pyke']",False,True,1514,16.2.741.3171,420,NA1_5479570227
"['Rumble', 'JarvanIV', 'Akshan', 'Kaisa', 'Rell']","['Gwen', 'Yasuo', 'Renekton', 'Braum', 'Varus']","['Kayle', 'LeeSin', 'Syndra', 'Corki', 'Nautilus']","['Mel', 'Naafiri', 'Ambessa', 'Lux']",False,True,1835,16.2.741.3171,420,NA1_5483145613
"['Gnar', 'Talon', 'Ahri', 'Ezreal', 'Soraka']","['Gwen', 'Rengar', 'Zac']","['Vayne', 'Vi', 'Anivia', 'Ziggs', 'Poppy']","['Riven', 'Rengar', 'Jayce', 'Akali']",True,False,1682,16.3.744.1639,420,NA1_5484947693
"['Rumble', 'Qiyana', 'Syndra', 'Ezreal', 'Leona']","['Riven', 'Akali', 'Darius', 'Rengar', 'Ambessa']","['Yone', 'Zaahen', 'Orianna', 'Heimerdinger', 'Nautilus']","['Gwen', 'Sona', 'Akali', 'Sivir', 'Jayce']",False,True,1691,16.3.744.7656,420,NA1_5487487472
"['Sion', 'Ambessa', 'Kaisa', 'Pyke', 'Alistar']","['Akali', 'Sylas', 'Gwen', ""Kha'Zix"", 'Fiddlesticks']","['Singed', 'JarvanIV', 'Lucian', 'Vladimir', 'Nami']","['Fiddlesticks', 'Gwen', 'Draven', 'Riven', 'Fiora']",False,True,2156,16.4.746.5697,420,NA1_5495871313
"['Azir', 'Nidalee', 'Corki', 'Jinx', 'Thresh']","['Riven', 'Lux', 'Shaco', 'Ambessa', 'Sona']","['Akali', 'JarvanIV', 'Syndra', 'Ashe', 'Seraphine']","['Pyke', 'Viego', ""Bel'Veth"", 'Rengar', 'Gangplank']",False,True,978,16.3.745.7600,420,NA1_5491157503
"['Varus', 'Jax', 'FiddleSticks', 'Veigar', 'Nami']","['Malphite', ""Kha'Zix"", 'Lux', 'Sivir']","['DrMundo', 'Rengar', 'Ekko', 'Ziggs', 'Sona']","['Kindred', 'Akshan', 'Udyr', 'Sivir', 'Fiora']",False,True,1588,16.2.741.3171,420,NA1_5482516627
"['Riven', 'DrMundo', 'Orianna', 'Corki', 'Alistar']","['Rengar', 'Shaco', 'Twitch', 'Draven', 'Zac']","['Fiora', 'Jayce', 'Karthus', 'Kaisa', 'Pyke']","['Poppy', 'Braum', 'Rengar', 'Ambessa']",True,False,1186,16.3.744.1639,420,NA1_5484938621
"['Tryndamere', 'Kayn', 'Diana', 'Kaisa', 'Rakan']","['Lux', 'Riven', 'Viktor', ""Bel'Veth"", 'Yasuo']","['Malphite', 'LeeSin', 'Talon', 'Zilean', 'Bard']","['Sivir', 'LeBlanc', ""Rek'Sai"", 'Sona', 'Shaco']",True,False,1710,16.3.744.7656,420,NA1_5487832460
"['MasterYi', 'Jayce', 'Veigar', 'Swain', 'Leona']","['Kassadin', 'Draven', ""Kha'Zix"", 'Sylas', 'Rengar']","['Renekton', 'Viego', 'Ekko', 'Ezreal', 'Neeko']","['Ambessa', 'Lux', 'Braum', ""Bel'Veth"", 'Fiora']",False,True,1793,16.3.745.7600,420,NA1_5491958613
"['Fiora', 'Khazix', 'TwistedFate', 'Ashe', 'Seraphine']","['Rengar', 'Fiddlesticks', 'Yasuo']","['Udyr', 'Jayce', 'Talon', 'Ziggs', 'Pantheon']","['Nunu & Willump', 'Zoe', 'Karma', 'Poppy', 'Draven']",False,True,930,16.2.741.3171,420,NA1_5480424560
"['Ambessa', 'Vi', 'TwistedFate', 'Ezreal', 'Amumu']","['Sylas', 'Fizz', 'Sona', 'Rengar', 'Yasuo']","['Riven', 'Gwen', 'Ahri', 'Kaisa', 'Morgana']","['Zac', 'Irelia', 'Kennen', 'Pyke', 'Nautilus']",True,False,2076,16.3.744.1639,420,NA1_5484972379
"['KSante', 'Khazix', 'Irelia', 'Varus', 'Velkoz']","[""Bel'Veth"", 'Yasuo', 'Gwen', 'Sona']","['Volibear', 'Jayce', 'Viktor', 'Mel', 'Lux']","['Sivir', 'Naafiri', 'Akali', 'Rengar', 'Urgot']",True,False,1812,16.3.745.7600,420,NA1_5493547595
"['Rumble', 'Graves', 'TwistedFate', 'Senna', 'Thresh']","['Sona', 'Naafiri', 'Gwen', 'Nasus', 'Fiddlesticks']","['Teemo', 'XinZhao', 'Taliyah', 'Aphelios', 'Braum']","['Syndra', 'Rengar', 'Sion', 'Katarina', 'Nautilus']",True,False,975,16.4.746.5697,420,NA1_5495970891
"['Gangplank', 'Aatrox', 'Akali', 'Aphelios', 'Leona']","['Mel', 'Sona', 'Renekton', 'Rengar']","['Jax', 'Ambessa', 'Anivia', 'Ziggs', 'Soraka']","['Zed', 'Nautilus', 'Shaco', 'Nunu & Willump', 'Draven']",False,True,1669,16.2.741.3171,420,NA1_5479520790
"['Kennen', 'Jayce', 'Karma', 'Kaisa', 'Thresh']","['Gwen', 'Varus', 'Vladimir', 'Mel', ""Kha'Zix""]","['Zaahen', 'Sylas', 'Zilean', 'Jhin', 'Pyke']","['Akali', 'Ambessa', 'Mel', 'Blitzcrank', 'Jax']",True,False,2074,16.3.744.7656,420,NA1_5487087153
"['Vayne', 'Pantheon', 'Aurora', 'Ziggs', 'Sona']","['Jayce', 'Morgana', 'Sivir', 'Gangplank', 'Fiddlesticks']","['Fiora', 'Khazix', 'Akali', 'Varus', 'Thresh']","['Taliyah', 'Tryndamere', 'Nunu & Willump', 'Udyr', 'Lux']",True,False,1215,16.2.741.3171,420,NA1_5477049251
"['Riven', 'Sylas', 'TwistedFate', 'Caitlyn', 'Bard']","['Nunu & Willump', 'Rengar', 'Sona', 'Draven', 'Jayce']","['Kled', 'Talon', 'Naafiri', 'Swain', 'Renata']","['Varus', ""Cho'Gath"", 'Karma', 'Irelia', 'Nidalee']",True,False,1518,16.2.741.3171,420,NA1_5482860189
"['Ambessa', 'Vi', 'Katarina', 'Vladimir', 'Thresh']","['Riven', 'Zed', 'Fiddlesticks', 'Sona', 'Rengar']","['Jax', 'Kindred', 'Jayce', 'Ezreal', 'Bard']","['Yunara', 'Graves', 'Gwen', 'Zed', 'Rumble']",False,True,1884,16.4.746.5697,420,NA1_5495825836
"['Fiora', 'Jayce', 'Kassadin', 'Draven', 'Senna']","['Taliyah', 'Pyke', 'Lux', 'Rengar', 'Riven']","['Yasuo', 'Khazix', 'Ryze', 'Ziggs', 'Sona']","['Akshan', 'Sivir', 'Riven', 'Jax', 'Qiyana']",False,True,1361,16.2.741.3171,420,NA1_5482554837
"['Varus', 'Jayce', 'Ryze', 'Kassadin', 'Soraka']","['Rengar', 'Blitzcrank', 'Twitch', 'Thresh', 'Riven']","['Aatrox', 'Rammus', 'Ahri', 'Ziggs', 'Sona']","['Sivir', 'Zoe', 'Zac', 'Lillia', ""Kha'Zix""]",False,True,1588,16.2.740.1491,420,NA1_5472436472
